"Label (Grouping)","Bronx borough, Bronx County, New York!!Total!!Estimate","Bronx borough, Bronx County, New York!!Total!!Margin of Error","Bronx borough, Bronx County, New York!!Percent!!Estimate","Bronx borough, Bronx County, New York!!Percent!!Margin of Error","Bronx borough, Bronx County, New York!!Male!!Estimate","Bronx borough, Bronx County, New York!!Male!!Margin of Error","Bronx borough, Bronx County, New York!!Percent Male!!Estimate","Bronx borough, Bronx County, New York!!Percent Male!!Margin of Error","Bronx borough, Bronx County, New York!!Female!!Estimate","Bronx borough, Bronx County, New York!!Female!!Margin of Error","Bronx borough, Bronx County, New York!!Percent Female!!Estimate","Bronx borough, Bronx County, New York!!Percent Female!!Margin of Error","Brooklyn borough, Kings County, New York!!Total!!Estimate","Brooklyn borough, Kings County, New York!!Total!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent!!Estimate","Brooklyn borough, Kings County, New York!!Percent!!Margin of Error","Brooklyn borough, Kings County, New York!!Male!!Estimate","Brooklyn borough, Kings County, New York!!Male!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent Male!!Estimate","Brooklyn borough, Kings County, New York!!Percent Male!!Margin of Error","Brooklyn borough, Kings County, New York!!Female!!Estimate","Brooklyn borough, Kings County, New York!!Female!!Margin of Error","Brooklyn borough, Kings County, New York!!Percent Female!!Estimate","Brooklyn borough, Kings County, New York!!Percent Female!!Margin of Error","Manhattan borough, New York County, New York!!Total!!Estimate","Manhattan borough, New York County, New York!!Total!!Margin of Error","Manhattan borough, New York County, New York!!Percent!!Estimate","Manhattan borough, New York County, New York!!Percent!!Margin of Error","Manhattan borough, New York County, New York!!Male!!Estimate","Manhattan borough, New York County, New York!!Male!!Margin of Error","Manhattan borough, New York County, New York!!Percent Male!!Estimate","Manhattan borough, New York County, New York!!Percent Male!!Margin of Error","Manhattan borough, New York County, New York!!Female!!Estimate","Manhattan borough, New York County, New York!!Female!!Margin of Error","Manhattan borough, New York County, New York!!Percent Female!!Estimate","Manhattan borough, New York County, New York!!Percent Female!!Margin of Error","Queens borough, Queens County, New York!!Total!!Estimate","Queens borough, Queens County, New York!!Total!!Margin of Error","Queens borough, Queens County, New York!!Percent!!Estimate","Queens borough, Queens County, New York!!Percent!!Margin of Error","Queens borough, Queens County, New York!!Male!!Estimate","Queens borough, Queens County, New York!!Male!!Margin of Error","Queens borough, Queens County, New York!!Percent Male!!Estimate","Queens borough, Queens County, New York!!Percent Male!!Margin of Error","Queens borough, Queens County, New York!!Female!!Estimate","Queens borough, Queens County, New York!!Female!!Margin of Error","Queens borough, Queens County, New York!!Percent Female!!Estimate","Queens borough, Queens County, New York!!Percent Female!!Margin of Error","Staten Island borough, Richmond County, New York!!Total!!Estimate","Staten Island borough, Richmond County, New York!!Total!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent!!Estimate","Staten Island borough, Richmond County, New York!!Percent!!Margin of Error","Staten Island borough, Richmond County, New York!!Male!!Estimate","Staten Island borough, Richmond County, New York!!Male!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent Male!!Estimate","Staten Island borough, Richmond County, New York!!Percent Male!!Margin of Error","Staten Island borough, Richmond County, New York!!Female!!Estimate","Staten Island borough, Richmond County, New York!!Female!!Margin of Error","Staten Island borough, Richmond County, New York!!Percent Female!!Estimate","Staten Island borough, Richmond County, New York!!Percent Female!!Margin of Error"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","196,626","±425","13.8%","±0.1","100,289","±384","14.9%","±0.1","96,337","±327","12.9%","±0.1","330,094","±413","12.5%","±0.1","169,720","±514","13.5%","±0.1","160,374","±562","11.6%","±0.1","125,663","±247","8.0%","±0.1","63,619","±137","8.5%","±0.1","62,044","±183","7.5%","±0.1","258,038","±299","11.1%","±0.1","132,704","±169","11.6%","±0.1","125,334","±298","10.5%","±0.1","60,625","±4","12.3%","±0.1","31,208","±3","12.8%","±0.1","29,417","±2","11.7%","±0.1"
"        15 to 17 years","57,453","±5","4.0%","±0.1","29,284","±623","4.3%","±0.1","28,169","±624","3.8%","±0.1","92,484","±276","3.5%","±0.1","47,090","±281","3.7%","±0.1","45,394","±245","3.3%","±0.1","35,721","±149","2.3%","±0.1","17,774","±149","2.4%","±0.1","17,947","±4","2.2%","±0.1","75,340","±298","3.2%","±0.1","38,732","±278","3.4%","±0.1","36,608","±241","3.1%","±0.1","19,543","±5","4.0%","±0.1","10,568","±651","4.4%","±0.3","8,975","±650","3.6%","±0.2"
"        Under 18 years","349,239","±563","24.5%","±0.1","178,061","±774","26.4%","±0.1","171,178","±680","22.8%","±0.1","600,089","±481","22.7%","±0.1","307,154","±638","24.4%","±0.1","292,935","±851","21.2%","±0.1","231,702","±391","14.7%","±0.1","117,275","±325","15.6%","±0.1","114,427","±213","13.8%","±0.1","464,844","±6","19.9%","±0.1","238,630","±300","20.9%","±0.1","226,214","±300","19.0%","±0.1","107,063","±3","21.7%","±0.1","56,386","±1,047","23.2%","±0.3","50,677","±1,047","20.2%","±0.3"
"        18 to 24 years","134,407","±838","9.4%","±0.1","68,231","±487","10.1%","±0.1","66,176","±431","8.8%","±0.1","198,485","±255","7.5%","±0.1","96,974","±217","7.7%","±0.1","101,511","±149","7.3%","±0.1","131,835","±418","8.4%","±0.1","58,293","±286","7.8%","±0.1","73,542","±299","8.9%","±0.1","167,921","±1,191","7.2%","±0.1","84,368","±1,008","7.4%","±0.1","83,553","±457","7.0%","±0.1","40,409","±342","8.2%","±0.1","20,643","±229","8.5%","±0.1","19,766","±114","7.9%","±0.1"
"        15 to 44 years","592,180","±583","41.6%","±0.1","289,192","±865","42.8%","±0.1","302,988","±690","40.4%","±0.1","1,126,502","±764","42.7%","±0.1","547,657","±426","43.6%","±0.1","578,845","±628","41.8%","±0.1","711,838","±423","45.1%","±0.1","343,334","±403","45.7%","±0.1","368,504","±255","44.6%","±0.1","910,397","±605","39.1%","±0.1","457,555","±546","40.1%","±0.1","452,842","±358","38.0%","±0.1","187,752","±427","38.0%","±0.1","94,954","±721","39.1%","±0.2","92,798","±681","37.0%","±0.2"
"        16 years and over","1,114,497","±2,500","78.2%","±0.2","517,144","±2,031","76.6%","±0.3","597,353","±1,709","79.7%","±0.2","2,102,166","±2,939","79.6%","±0.1","981,308","±1,827","78.0%","±0.2","1,120,858","±2,155","81.0%","±0.2","1,368,422","±2,125","86.8%","±0.1","645,664","±1,473","86.0%","±0.2","722,758","±1,448","87.5%","±0.2","1,917,787","±2,473","82.3%","±0.1","928,990","±1,782","81.5%","±0.2","988,797","±1,762","83.0%","±0.2","399,911","±1,370","81.0%","±0.3","193,300","±1,176","79.6%","±0.5","206,611","±1,001","82.4%","±0.4"
"        18 years and over","1,075,709","±563","75.5%","±0.1","497,262","±778","73.6%","±0.1","578,447","±436","77.2%","±0.1","2,040,963","±481","77.3%","±0.1","950,250","±471","75.6%","±0.1","1,090,713","±513","78.8%","±0.1","1,345,174","±391","85.3%","±0.1","633,405","±495","84.4%","±0.1","711,769","±377","86.2%","±0.1","1,866,299","±6","80.1%","±0.1","901,878","±385","79.1%","±0.1","964,421","±386","81.0%","±0.1","386,431","±3","78.3%","±0.1","186,517","±241","76.8%","±0.3","199,914","±241","79.8%","±0.3"
"        21 years and over","1,017,355","±2,929","71.4%","±0.2","467,047","±1,996","69.2%","±0.3","550,308","±2,031","73.4%","±0.3","1,966,522","±2,645","74.5%","±0.1","912,110","±1,912","72.5%","±0.2","1,054,412","±1,873","76.2%","±0.1","1,292,698","±2,822","82.0%","±0.2","611,896","±1,973","81.5%","±0.3","680,802","±2,052","82.4%","±0.2","1,798,566","±2,704","77.2%","±0.1","866,836","±1,697","76.0%","±0.1","931,730","±2,048","78.3%","±0.2","370,513","±1,576","75.1%","±0.3","178,817","±1,009","73.6%","±0.5","191,696","±1,257","76.5%","±0.6"
"        60 years and over","279,710","±3,726","19.6%","±0.3","115,543","±2,678","17.1%","±0.4","164,167","±2,922","21.9%","±0.4","549,305","±4,487","20.8%","±0.2","235,424","±3,666","18.7%","±0.3","313,881","±3,193","22.7%","±0.2","386,004","±5,508","24.5%","±0.3","167,329","±4,232","22.3%","±0.6","218,675","±3,504","26.5%","±0.4","562,753","±5,320","24.1%","±0.2","251,593","±3,664","22.1%","±0.3","311,160","±3,721","26.1%","±0.3","121,156","±2,846","24.6%","±0.6","54,009","±2,045","22.2%","±0.9","67,147","±1,938","26.8%","±0.8"
